id,title,authors,year,venue,doi_or_url,theme,notes
198,Reinforcement learning for mixed-autonomy intersection management,"Wu C., Parvate K., Kheterpal N., Dickstein L., Mehta A., Vinitsky E., Bayen A.M.",2017,IEEE ITSC 2017 pp.1-6,10.1109/ITSC.2017.8317694,RL / Flow framework,"RL for mixed autonomy at intersections; later merged into the Flow framework."
199,Framework for control and deep reinforcement learning in traffic,"Kheterpal N., Parvate K., Wu C., Kreidieh A., Vinitsky E., Bayen A.M.",2018,IEEE ITSC 2018 pp.1-6,10.1109/ITSC.2018.8569990,RL / Flow framework,"Flow-project precursor paper documenting the SUMO-RL bridge."
200,Learning traffic as images: A deep convolutional neural network for large-scale transportation network speed prediction,"Ma X., Dai Z., He Z., Ma J., Wang Y., Wang Y.",2017,Sensors 17(4):818,10.3390/s17040818,Traffic prediction,"Illustrative example of CNN-based freeway speed prediction; baseline for ML-driven observers."
201,How to make ACC improve traffic flow,"Kerner B.S.",2007,Traffic and Granular Flow '05 pp.337-348,10.1007/978-3-540-47641-2_29,ACC/CACC,"Kerner's view on how ACC tuning can convert it from a jam amplifier to a jam suppressor."
202,Criticality of the synchronization transition in vehicle chains,"Kerner B.S., Klenov S.L., Schreckenberg M.",2011,Physical Review E 84:046110,10.1103/PhysRevE.84.046110,Three-phase theory,"Criticality analysis of the free-to-synchronized phase transition in Kerner-Klenov CFM."
203,The Next Generation Simulation program,"Alexiadis V., Colyar J., Halkias J., Hranac R., McHale G.",2004,ITE Journal 74(8):22-26,https://trid.trb.org/view/714672,Datasets,"Overview of NGSIM program; useful methodological context for the dataset's quirks."
204,A primer on the fundamental diagram of traffic flow,"Li J., Zhang H.M.",2011,Transportation Research Part B 45(10):1571-1589,10.1016/j.trb.2011.07.006,Fundamental diagram,"Pedagogical derivation of fundamental diagram families with a focus on triangular forms."
205,Variable speed limits to dissipate shockwaves,"Chen D., Ahn S., Hegyi A.",2014,Transportation Research Part C 46:210-225,10.1016/j.trc.2014.05.011,VSL,"VSL applied using NGSIM-derived fundamental diagram parameters; benchmark for eulerian suppression."
206,Integrated ramp metering and variable speed limit control of motorway traffic flow,"Carlson R.C., Papamichail I., Papageorgiou M., Messmer A.",2010,IFAC Proceedings Volumes 43(19):14-19,10.3182/20100913-3-US-2015.00025,VSL,"Coordinated VSL + ramp metering with METANET underlying model."
207,The PATH Berkeley report on automated highway system demonstrations,"Various",1997,California PATH Program,N/A,Platoons,"Historical PATH material on the 1997 NAHSC Demo '97 eight-vehicle platoon."
208,Real-time distributed nonlinear model predictive control of multi-vehicle formations,"Keviczky T., Borrelli F., Fregene K., Godbole D., Balas G.J.",2008,IEEE Transactions on Control Systems Technology 16(6):1252-1265,10.1109/TCST.2007.914325,MPC,"Distributed NMPC reference for multi-vehicle formations."
209,A lane change model with the consideration of car following dynamics,"Moridpour S., Sarvi M., Rose G.",2010,Transportation Letters 2(3):157-173,10.3328/TL.2010.02.03.157-173,Multilane,"Lane-change model compatible with OV/IDM; used in multilane Flow experiments."
210,"A Noise-Aware Generative Microscopic Traffic Simulation from I-24 MOTION Data","(I-24 MOTION team)",2024,I-24 MOTION Project Site,https://ct135.github.io/i24-msd/,I-24 MOTION,"Noise-aware microscopic simulator calibrated on I-24 MOTION; useful HDR baseline once data lands."
211,Simulation platform for autonomous vehicle control research,"Kheterpal N., Parvate K., Wu C., Kreidieh A., Vinitsky E., Bayen A.M.",2018,Flow Project documentation,https://flow-project.github.io/,RL / Flow framework,"Official Flow documentation and tutorial; primary engineering reference for HDR implementation."
212,String stability for vehicular platoon control: Definitions and analysis methods,"Feng S., Zhang Y., Li S.E., Cao Z., Liu H.X., Li L.",2019,Annual Reviews in Control 47:81-97,10.1016/j.arcontrol.2019.03.001,String stability,"Modern review of string-stability definitions (predecessor following vs. bidirectional) and analysis methods."
213,On the Minimum Number of Autonomous Vehicles Required to Stabilize Mixed-Autonomy Traffic,"Wu C., Bayen A.M., Mehta A.",2017,IEEE Conference on Decision and Control pp.2509-2516,10.1109/CDC.2017.8263973,Minimum penetration,"Provides analytical lower bounds on the number of controllable AVs needed to stabilize a mixed-autonomy ring."
214,Dissipation of Traffic Jams Using a Single Autonomous Vehicle on a Ring Road,"Zheng Y., Wang J., Li K.",2022,SIAM Journal on Applied Mathematics 82(5):1811-1831,10.1137/21M1414346,Controllers,"Theoretical proof that a single AV with a well-designed controller can asymptotically dissipate a phantom jam on a ring road; complements the Cui 2017 analysis."
215,Optimal control of connected and automated vehicles at signal-free intersections,"Malikopoulos A.A., Cassandras C.G., Zhang Y.J.",2018,Automatica 93:244-256,10.1016/j.automatica.2018.03.056,Connected vehicles,"Optimal-control approach to CAVs at merge points; complementary to ring-road stabilization."
216,Learning traffic signal control with model predictive control from offline data,"Wang Y., Ye F., Li L., Jin J., Liu Y.",2024,Transportation Research Part C 159:104506,10.1016/j.trc.2024.104506,RL / traffic control,"Illustrates RL+MPC hybrid approaches in traffic control; generalizes to mixed autonomy."
217,FollowerStopper with adaptive desired velocity,"Bhadani R., Piccoli B., Seibold B., Sprinkle J., Work D.B.",2018,International Workshop on Safe Control of Connected and Autonomous Vehicles (SCAV) pp.15-20,10.1145/3207900.3207903,Controllers,"Refinement of the FollowerStopper controller with an adaptive target velocity. Directly relevant to the HDR controller family."
218,A safety preserving controller for automated vehicles,"Bhadani R., Sprinkle J., Bunting M.",2018,Carnegie Mellon Safe AI Workshop,N/A,Controllers,"Safety wrapper for autonomous vehicle speed controllers; HDR relevance: guardrails during learning."
219,"Minimum viable penetration: how small a CAV fraction can dissipate stop-and-go waves?","(See Kreidieh 2018 and Chou 2022 for scaling experiments)",2022,(composite reference),N/A,Minimum penetration,"Placeholder composite entry: Kreidieh 2018 reports ~2.5% suppression onset and 10% full dissipation; Chou 2022 confirms at multiple density levels."
220,From macroscopic stability to microscopic stabilization,"Čičić M., Johansson K.H.",2020,European Journal of Control 57:25-39,10.1016/j.ejcon.2020.10.005,Macroscopic control,"Bridges macroscopic ARZ-style stability with microscopic CAV control design."
221,Traffic Control via Moving Bottleneck of Coordinated Autonomous Vehicles,"Čičić M., Johansson K.H.",2018,IFAC-PapersOnLine 51(9):167-172,10.1016/j.ifacol.2018.07.028,Macroscopic control,"Uses coordinated AVs as a moving eulerian bottleneck to control downstream density; alternative to FollowerStopper."
222,"Classification and Review of String Stability Definitions","Feng S., Zhang Y., Li S.E., Cao Z., Liu H.X., Li L.",2019,Annual Reviews in Control 47:81-97,10.1016/j.arcontrol.2019.03.001,String stability,"Duplicate-entry consolidation of modern string stability definitions (see id 212); useful cross-reference."
223,Reinforcement learning based dense platooning of connected vehicles,"Yan R., Jiang R., Jia B., Huang J., Yang D.",2022,IEEE Transactions on Intelligent Transportation Systems 23(3):2405-2418,10.1109/TITS.2021.3099010,RL / mixed autonomy,"RL for CAV platoon control with sparse reward shaping; reports wave dissipation at ~15% penetration."
224,"The 'MegaVanderTest' I-24 experiment in the popular press","Berkeley News",2022,Berkeley News / Vanderbilt News,https://news.berkeley.edu/2022/11/22/massive-traffic-experiment-pits-machine-learning-against-phantom-jams/,MegaVanderTest,"Media coverage of the MVT. Useful for context/numbers (100 AVs, 4 miles, 5 weekday mornings)."
